Etapa/Ano,Eixo,Código,Objeto de Conhecimento,Habilidade (BNCC),Explicação Pedagógica,Atividade Proposta
Educação Infantil,Cultura Digital,EI03CO11,Hábitos saudáveis com artefatos computacionais,"Adotar hábitos saudáveis de uso de artefatos computacionais, seguindo recomendações de saúde.","A saúde digital (postura, tempo de tela, pausas) precisa ser ensinada desde a infância. Conectar computação ao cuidado com o corpo promove autonomia e responsabilidade no uso de tecnologias.","O RELÓGIO DO DESCANSO: Durante atividade com tablet a professora usa um timer visual. Ao soar, todas as crianças fazem uma pausa, alongam-se e conversam sobre como os olhos e o corpo estão se sentindo."
1º Ano,Pensamento Computacional,EF01CO01,Organização de objetos,"Organizar objetos físicos ou digitais considerando diferentes características, explicitando semelhanças (padrões) e diferenças.","Organizar e classificar objetos segundo atributos é a base da abstração computacional. Ao agrupar por cor, forma ou tamanho, a criança inicia o raciocínio lógico-classificatório necessário para estruturas de dados.","ESTAÇÃO DE CLASSIFICAÇÃO: Cada grupo recebe botões, tampinhas ou blocos. Classificam segundo critérios próprios e compartilham com a turma, percebendo que há múltiplas formas válidas de organização."
1º Ano,Pensamento Computacional,EF01CO02,Conceituação de Algoritmos — sequências,Identificar e seguir sequências de passos aplicados no dia a dia para resolver problemas.,"Sequências de passos ordenados são algoritmos cotidianos. Ao identificá-los em atividades como escovar os dentes ou fazer um suco, a criança compreende que computadores executam instruções precisamente na ordem recebida.","LIVRO DAS RECEITAS: Cada criança desenha os passos de uma atividade diária (tomar banho, fazer lanche). A turma compila as 'receitas' em um livrinho e percebe que a ordem importa."
1º Ano,Pensamento Computacional,EF01CO03,Conceituação de Algoritmos — reorganização,"Reorganizar e criar sequências de passos em meios físicos ou digitais, relacionando essas sequências à palavra 'Algoritmos'.",Reorganizar sequências introduz o conceito de depuração (debugging): identificar erros na ordem e corrigi-los. Associar a atividade à palavra 'algoritmo' inicia o vocabulário técnico de forma contextualizada.,"SEQUÊNCIA EMBARALHADA: A professora apresenta cartões com passos fora de ordem. Em duplas, as crianças reorganizam e justificam sua escolha. Depois comparam com outras duplas."
1º Ano,Mundo Digital,EF01CO04,Codificação da informação — conceito,"Reconhecer o que é a informação, que ela pode ser armazenada, transmitida como mensagem por diversos meios e descrita em várias linguagens.",Compreender que informação pode ser representada de múltiplas formas prepara para entender dados digitais. É o primeiro passo para o letramento informacional e para compreender como computadores processam dados.,"A MENSAGEM VIAJANTE: A turma brinca de 'telefone sem fio' oral, depois escrito, depois em desenho. Ao final, comparam as versões e discutem como a informação muda conforme o meio."
1º Ano,Mundo Digital,EF01CO05,Codificação da informação — representação,Representar informação usando diferentes codificações.,"Representar informação em diferentes formatos (braille, morse, emoji) antecipa a compreensão de que computadores codificam tudo em bits. Desenvolve flexibilidade de pensamento e comunicação.","CÓDIGO SECRETO DA TURMA: As crianças criam um código com desenhos simples para representar letras (☀=A, ★=B). Trocam mensagens codificadas com colegas e decodificam juntos."
1º Ano,Cultura Digital,EF01CO06,Uso de artefatos computacionais,Reconhecer e explorar artefatos computacionais voltados a atender necessidades pessoais ou coletivas.,"Identificar para que servem diferentes tecnologias e como elas atendem necessidades humanas conecta computação à realidade social das crianças, promovendo uso crítico e intencional.",FEIRA DE TECNOLOGIAS: Cada criança traz (ou desenha) uma tecnologia que usa em casa e explica para que serve. Constroem painel coletivo: 'Tecnologias que usamos e para quê'.
1º Ano,Cultura Digital,EF01CO07,Segurança e responsabilidade,Conhecer as possibilidades de uso seguro das tecnologias computacionais para proteção dos dados pessoais e para garantir a própria segurança.,Proteção de dados pessoais e segurança online são direitos fundamentais. Iniciar esse aprendizado no 1º ano forma hábitos que protegerão a criança ao longo de toda a sua vida digital.,"O QUE POSSO COMPARTILHAR?: Roda de conversa com cartões mostrando informações (nome completo, endereço, cor favorita). As crianças classificam em 'posso compartilhar' / 'guardo para mim' e discutem o porquê."
2º Ano,Pensamento Computacional,EF02CO01,Modelagem de objetos,"Criar e comparar modelos (representações) de objetos, identificando padrões e atributos essenciais.",Modelar objetos é criar abstrações — simplificações que capturam apenas os atributos relevantes. Esta habilidade é central na programação orientada a objetos e no design de sistemas.,FICHA DO ANIMAL: Cada criança escolhe um animal e cria uma 'ficha técnica' com atributos (tem penas? quantas patas? o que come?). Comparam fichas e percebem quais atributos diferenciam os animais.
2º Ano,Pensamento Computacional,EF02CO02,Algoritmos com repetições simples,Criar e simular algoritmos com sequências com repetições simples (iterações definidas).,"Repetição (laço/loop) é uma das estruturas fundamentais da programação. Ao criar sequências que se repetem, a criança entende que computadores são eficientes porque executam tarefas repetidas sem cansar.","DANÇA DO ROBÔ: A turma cria uma coreografia com movimentos que se repetem ('gire 2 vezes, bata palma, repita 3 vezes'). Registram em cartões com desenhos e ensinam a outro grupo."
2º Ano,Mundo Digital,EF02CO03,Instrução de máquina,Identificar que máquinas diferentes executam conjuntos próprios de instruções e que podem ser usadas para definir algoritmos.,Diferentes máquinas executam diferentes conjuntos de instruções — esse conceito introduz a ideia de programação específica por plataforma e a relação entre hardware e software.,"CADA MÁQUINA TEM SEU JEITO: A turma lista máquinas conhecidas (liquidificador, calculadora, caixa eletrônico). Para cada uma, listam 'que instruções ela entende'. Comparam as listas e percebem as diferenças."
2º Ano,Mundo Digital,EF02CO04,Hardware e software,Diferenciar componentes físicos (hardware) e programas que fornecem as instruções (software) para o hardware.,"A distinção hardware/software é estruturante: o hardware é o corpo, o software é a mente. Esta compreensão evita confusões comuns e aprofunda o letramento digital.","CORPO E MENTE DO COMPUTADOR: Usando um computador real ou imagens, crianças colam etiquetas em componentes físicos (hardware) e apontam os programas (software). Criam analogia com o próprio corpo."
2º Ano,Cultura Digital,EF02CO05,Uso de artefatos computacionais no cotidiano,Reconhecer as características e usos das tecnologias computacionais no cotidiano dentro e fora da escola.,Perceber a presença ubíqua da computação no cotidiano amplia o repertório digital e desenvolve senso crítico sobre dependência tecnológica e oportunidades de uso criativo.,"DIÁRIO TECNOLÓGICO: Por uma semana, as crianças registram (com desenhos) toda tecnologia que usam ou veem. Na sexta-feira, partilham descobertas e montam mapa coletivo."
2º Ano,Cultura Digital,EF02CO06,Segurança com dispositivos,Reconhecer os cuidados com a segurança no uso de dispositivos computacionais.,"Cuidar dos dispositivos (não deixar cair, não usar com mãos molhadas, não compartilhar senhas) é parte do letramento digital responsável e forma hábitos que protegem tanto o equipamento quanto o usuário.","MANUAL DE CUIDADOS: Em grupos, crianças criam um 'manual ilustrado' de cuidados com o tablet/computador da escola. Apresentam para outra turma e afixam na sala de informática."
3º Ano,Pensamento Computacional,EF03CO01,Lógica computacional — verdadeiro/falso,"Associar os valores 'verdadeiro' e 'falso' a sentenças lógicas que dizem respeito a situações do dia a dia, fazendo uso de termos que indicam negação.",A lógica booleana com negação (NÃO verdadeiro = falso) é a base dos circuitos eletrônicos e das estruturas condicionais em programação. Trabalhá-la no cotidiano torna a abstração acessível.,VERDADE OU MENTIRA COM NEGAÇÃO: A professora faz afirmações ('não é verdade que o céu é verde'). Crianças identificam se a afirmação negada é verdadeira ou falsa e justificam com seus próprios exemplos.
3º Ano,Pensamento Computacional,EF03CO02,Algoritmos com condicionais,Criar e simular algoritmos com sequências e repetições com condição (iterações indefinidas).,"Condicional (se…então…senão) é uma das estruturas mais poderosas da programação. Combinada com repetição, permite criar soluções para problemas complexos. Trabalhá-la no 3º ano prepara para a programação formal.","SEMÁFORO ROBÔ: Crianças programam um 'robô colega' com instruções como 'SE a luz for vermelha, ENTÃO pare; SENÃO continue'. Simulam no corredor e depois registram as instruções em cartões."
3º Ano,Pensamento Computacional,EF03CO03,Decomposição,"Aplicar a estratégia de decomposição para resolver problemas complexos, dividindo o problema em partes menores.",Decompor problemas — dividi-los em partes menores e gerenciáveis — é uma das quatro habilidades centrais do pensamento computacional. É a mesma estratégia usada por engenheiros de software ao planejar sistemas.,"O GRANDE DESAFIO DECOMPOSTO: A turma recebe um problema real da escola (organizar a biblioteca). Em grupos, listam tudo que precisa ser feito e dividem em subtarefas. Depois executam e avaliam."
3º Ano,Mundo Digital,EF03CO04,Codificação da informação — dado,Relacionar o conceito de informação com o de dado.,"Dado é a matéria-prima da informação: números e fatos brutos que, quando contextualizados, ganham significado. Esta distinção é fundamental para compreender bancos de dados e análise de dados.",DADOS VIRAM INFORMAÇÃO: A turma coleta dados simples (quantos irmãos cada um tem). Organizam em tabela. Discutem: 'o número 2 sozinho é um dado; saber que 10 alunos têm 2 irmãos é uma informação'.
3º Ano,Mundo Digital,EF03CO05,Codificação da informação — formatos,Compreender que dados são estruturados em formatos específicos dependendo da informação armazenada.,"Formatos de dados (texto, número, imagem, áudio) determinam como a informação é armazenada e processada. Compreender isso prepara para trabalhar com diferentes tipos de arquivos e mídias digitais.","MUSEU DE FORMATOS: Cada grupo recebe um tipo de informação (música, receita, mapa, foto) e discute 'como o computador guardaria isso?'. Apresentam e identificam os formatos correspondentes."
3º Ano,Mundo Digital,EF03CO06,Interface física,"Reconhecer que, para um computador realizar tarefas, ele se comunica com o mundo exterior com o uso de interfaces físicas (dispositivos de entrada e saída).","Interfaces físicas (teclado, mouse, microfone, câmera, impressora) são as portas de entrada e saída dos computadores. Compreendê-las contextualiza a interação humano-computador.","MAPA DE ENTRADAS E SAÍDAS: As crianças mapeiam em um computador real todas as interfaces físicas, classificando em 'entrada' (teclado, microfone) e 'saída' (monitor, caixa de som). Criam diagrama visual."
3º Ano,Cultura Digital,EF03CO07,Uso de tecnologias para pesquisar,Utilizar diferentes navegadores e ferramentas de busca para pesquisar e acessar informações.,"Saber pesquisar de forma eficiente é uma competência essencial no século XXI. Usar palavras-chave precisas, avaliar fontes e comparar resultados são habilidades de letramento informacional.","CAÇADA DE INFORMAÇÕES: A turma recebe perguntas sobre um tema (animais em extinção). Em duplas, pesquisam usando dois navegadores diferentes e comparam os resultados. Registram o que aprenderam."
3º Ano,Cultura Digital,EF03CO08,Ferramentas computacionais para expressão,Usar ferramentas computacionais em situações didáticas para se expressar em diferentes formatos digitais.,"Produzir conteúdo digital (texto, apresentação, desenho) desenvolve comunicação, criatividade e autoria. O estudante passa de consumidor a produtor de conteúdo.","NOTÍCIA DIGITAL: Cada grupo cria uma pequena notícia sobre um evento da escola usando editor de texto ou apresentação. Inclui título, texto e imagem. Publicam no mural digital da escola."
3º Ano,Cultura Digital,EF03CO09,Segurança — compartilhamento de dados,Reconhecer o potencial impacto do compartilhamento de informações pessoais ou de seus pares em meio digital.,A privacidade online é um direito e uma responsabilidade. Compreender que informações compartilhadas podem ter consequências imprevisíveis forma cidadãos digitais mais conscientes e seguros.,O QUE ACONTECE COM MINHA FOTO?: Análise de situações fictícias ('Pedro postou a foto de Ana sem pedir'). A turma discute consequências e cria lista de combinados sobre compartilhamento responsável.
4º Ano,Pensamento Computacional,EF04CO01,Matrizes e registros — matrizes,"Reconhecer objetos do mundo real e/ou digital que podem ser representados através de matrizes, fazendo manipulações simples.","Matrizes são estruturas bidimensionais (linhas × colunas) usadas em imagens digitais, planilhas e jogos. Reconhecê-las conecta matemática, computação e cotidiano.","PIXEL ART DESPLUGADA: Cada criança recebe uma grade quadriculada e cria uma imagem colorindo células. Discutem: 'sua imagem é uma matriz! Cada célula tem uma posição (linha, coluna) e uma cor'."
4º Ano,Pensamento Computacional,EF04CO02,Matrizes e registros — registros,"Reconhecer objetos do mundo real e/ou digital que podem ser representados através de registros, fazendo manipulações simples.",Registros organizam dados por nome/atributo — como uma ficha cadastral. Compreender esta estrutura prepara para bancos de dados e programação orientada a objetos.,"FICHA DO HERÓI: Cada criança cria uma 'ficha de personagem' (nome, poder, fraqueza, pontos de vida). Comparam fichas e discutem quais campos (atributos) são comuns a todos."
4º Ano,Pensamento Computacional,EF04CO03,Algoritmos com repetições aninhadas,Criar e simular algoritmos com sequências e repetições simples e aninhadas (iterações definidas e indefinidas).,Repetições aninhadas (loops dentro de loops) aparecem em situações como percorrer uma matriz ou criar padrões. Trabalhá-las corporalmente ou com blocos desenvolve intuição que facilita a programação futura.,"TABELA DE MULTIPLICAÇÃO CORPORAL: A turma cria uma 'tabuada viva'. O loop externo representa dezenas, o interno as unidades. Cada combinação resulta numa ação (pular, bater palma, girar)."
4º Ano,Mundo Digital,EF04CO04,Codificação — formatos digitais,"Entender que para guardar, manipular e transmitir dados deve-se codificá-los de alguma forma que seja compreendida pela máquina (formato digital).","Toda informação digital é codificada em bits (0 e 1). Compreender que texto, som, imagem e vídeo são todos sequências de bits rompe a 'caixa preta' do computador e desmistifica a tecnologia.","TRADUZINDO PARA BINÁRIO: Usando o alfabeto A=1, B=2… as crianças convertem seu nome para números e depois para binário simples (com cartas preto/branco). Percebem que tudo pode ser representado por 0 e 1."
4º Ano,Mundo Digital,EF04CO05,Codificação — binária/ASCII/RGB,"Codificar diferentes informações para representação em computador (binária, ASCII, atributos de pixel como RGB etc.).","Sistemas de codificação como ASCII e RGB mostram como computadores representam texto e cor. Fundamental para áreas como design gráfico, programação e segurança da informação.","MISTURANDO CORES EM RGB: Com paleta digital ou tinta, as crianças exploram misturas de vermelho, verde e azul. Cada mistura recebe um código RGB. Criam uma paleta da turma com os códigos descobertos."
4º Ano,Cultura Digital,EF04CO06,Ferramentas para criação de conteúdo,"Usar diferentes ferramentas computacionais para criação de conteúdo (textos, apresentações, vídeos etc.).",Produzir conteúdo com ferramentas diversas desenvolve multiletramento digital. O estudante aprende que escolher a ferramenta certa faz parte da competência digital.,"CAMPANHA DA TURMA: Escolhem uma causa (cuidar das plantas, reciclar). Um grupo faz cartaz digital, outro uma apresentação, outro um vídeo curto. Discutem qual formato comunicou melhor."
4º Ano,Cultura Digital,EF04CO07,Postura ética com dados,"Demonstrar postura ética nas atividades de coleta, transferência, guarda e uso de dados.","Ética no tratamento de dados é um dos pilares da cidadania digital. Desde o 4º ano é fundamental discutir responsabilidade, consentimento e impacto do uso indevido de informações.","O CASO DOS DADOS: Análise de dilemas fictícios ('João encontrou a lista de notas da turma no chão — o que deve fazer?'). Debate em grupos sobre responsabilidade, privacidade e ações éticas."
4º Ano,Cultura Digital,EF04CO08,Confiabilidade de fontes,Reconhecer a importância de verificar a confiabilidade das fontes de informações obtidas na Internet.,Verificar fontes é competência essencial no combate à desinformação. Ensinar critérios de credibilidade desde o 4º ano forma leitores críticos e cidadãos mais resistentes a notícias falsas.,"DETECTOR DE FAKE NEWS: A professora apresenta manchetes reais e fictícias. Em grupos, as crianças usam critérios (autor, data, fonte, evidências) para classificar e justificam suas decisões."
5º Ano,Pensamento Computacional,EF05CO01,Listas e grafos — listas,Reconhecer objetos do mundo real e/ou digital que podem ser representados através de listas.,Listas são estruturas sequenciais amplamente usadas em programação. Reconhecê-las no cotidiano facilita a compreensão de arrays e listas encadeadas.,PLAYLIST DA TURMA: Cada criança cria uma lista de suas 5 músicas favoritas. Analisam as listas: como adicionar uma música? Como remover? Como reordenar? Introdução intuitiva a operações com listas.
5º Ano,Pensamento Computacional,EF05CO02,Listas e grafos — grafos,Reconhecer objetos do mundo real e/ou digital que podem ser representados através de grafos.,"Grafos modelam conexões (redes sociais, mapas, internet). Reconhecê-los no cotidiano prepara para compreender roteamento, algoritmos de busca e estruturas de redes.",MAPA DE AMIZADES: A turma cria um grafo coletivo onde cada aluno é um nó e as linhas representam amizades. Analisam: quem tem mais conexões? Existem grupos separados? Ligam ao funcionamento de redes sociais.
5º Ano,Pensamento Computacional,EF05CO03,Lógica computacional — operações,"Realizar operações de negação, conjunção e disjunção sobre sentenças lógicas com valores 'verdadeiro' e 'falso'.","As operações lógicas NÃO, E, OU são os blocos básicos de toda computação — desde circuitos eletrônicos até consultas em bancos de dados.","JOGO DAS PORTAS LÓGICAS: Com cartões de 0 e 1, duplas simulam portas AND, OR e NOT. Recebem entradas e devem calcular a saída. Depois montam circuitos simples combinando as operações."
5º Ano,Pensamento Computacional,EF05CO04,Algoritmos com seleção condicional,"Criar e simular algoritmos com sequências, repetições e seleções condicionais para resolver problemas.","A combinação de sequência, repetição e seleção condicional forma o conjunto completo de estruturas de controle da programação estruturada.","PROGRAMAÇÃO EM BLOCOS: Usando Scratch, crianças programam um personagem que reage ao ambiente (SE tocar na parede, mude de direção; REPITA até chegar ao destino). Apresentam os projetos."
5º Ano,Mundo Digital,EF05CO05,Arquitetura de computadores,"Identificar os componentes principais de um computador (dispositivos de entrada/saída, processadores e armazenamento).",Conhecer a arquitetura básica do computador desmistifica a tecnologia e permite tomar decisões mais informadas sobre hardware.,"DESMONTAGEM VIRTUAL: Usando vídeo ou imagens de computador aberto, cada grupo é responsável por um componente. Pesquisam, apresentam a função e criam cartaz para compor um 'computador gigante' na parede."
5º Ano,Mundo Digital,EF05CO06,Armazenamento de dados,Reconhecer que os dados podem ser armazenados em um dispositivo local ou remoto.,"A distinção entre armazenamento local e em nuvem é cada vez mais relevante. Compreender onde os dados ficam ajuda a tomar decisões sobre privacidade, acessibilidade e segurança.","ONDE FICAM MEUS DADOS?: Análise de situações (foto no celular, e-mail, documento no Google Drive). Para cada uma, crianças identificam se o dado está local ou na nuvem e discutem vantagens e riscos."
5º Ano,Mundo Digital,EF05CO07,Sistema operacional,Reconhecer a necessidade de um sistema operacional para a execução de programas e gerenciamento do hardware.,"O sistema operacional é o intermediário entre usuário, programas e hardware. Compreendê-lo ajuda a entender por que computadores precisam ser reiniciados e como programas são instalados.","SIMULAÇÃO DO SO: A turma cria uma 'empresa' onde o SO é o gerente. Cada aluno é um programa pedindo recursos (papel, caneta, espaço). O 'gerente' distribui recursos e prioriza pedidos."
5º Ano,Cultura Digital,EF05CO08,Acesso crítico à internet,Acessar as informações na Internet de forma crítica para distinguir os conteúdos confiáveis de não confiáveis.,A habilidade de avaliar criticamente informações online é uma das competências mais urgentes da educação contemporânea. Vai além da tecnologia — é formação para a democracia.,"TRIBUNAL DE FONTES: A turma recebe um conjunto de sites sobre um tema controverso. Em grupos de 'advogados' e 'juízes', analisam credibilidade e emitem veredicto."
5º Ano,Cultura Digital,EF05CO09,Direitos autorais em mídias digitais,Usar informações considerando aplicações e limites dos direitos autorais em diferentes mídias digitais.,"Respeitar direitos autorais digitais é uma questão legal e ética. Compreender Creative Commons, fair use e plágio forma estudantes mais responsáveis e criativos.","BANCO DE IMAGENS LEGAL: Ao criar um projeto, a turma pesquisa no Pixabay ou Wikimedia Commons, analisa as licenças de uso e aprende a creditar corretamente os autores."
5º Ano,Cultura Digital,EF05CO10,Expressão crítica — tecnologia e sociedade,Expressar-se crítica e criativamente na compreensão das mudanças tecnológicas no mundo do trabalho e sobre a evolução da sociedade.,"Refletir sobre como a tecnologia transforma o trabalho e a sociedade desenvolve consciência crítica sobre automação, desigualdade digital e protagonismo na construção do futuro.","PROFISSÕES DO FUTURO: Pesquisam profissões que existiram, existem e podem existir por causa da tecnologia. Criam uma linha do tempo e debatem: 'a tecnologia vai criar ou destruir empregos?'"
5º Ano,Cultura Digital,EF05CO11,Adequação de tecnologias para resolver problemas,Identificar a adequação de diferentes tecnologias computacionais na resolução de problemas.,Escolher a ferramenta tecnológica mais adequada para cada situação é uma meta-habilidade computacional. Não basta saber usar tecnologia — é preciso saber quando e por que usá-la.,"CARDÁPIO DE SOLUÇÕES: Apresentam três problemas reais da escola. Para cada um, grupos propõem diferentes soluções tecnológicas e avaliam custos, benefícios e limitações."
1º ao 5º Ano,Pensamento Computacional,EF15CO01,Organização e representação da informação,"Identificar as principais formas de organizar e representar a informação de maneira estruturada (matrizes, registros, listas, grafos) ou não estruturada (números, palavras, valores verdade).","Esta habilidade consolida o percurso dos anos iniciais, integrando todas as formas de representação de dados estudadas. Compreender quando usar cada estrutura é o início do pensamento em design de sistemas.","MUSEU DAS ESTRUTURAS: Cada grupo monta uma estação sobre uma estrutura (lista, grafo, matriz, registro) com exemplos do cotidiano, exercício prático e 'passaporte' que os visitantes preenchem."
1º ao 5º Ano,Pensamento Computacional,EF15CO02,Algoritmos completos,"Construir e simular algoritmos, de forma independente ou em colaboração, que resolvam problemas simples e do cotidiano com uso de sequências, seleções condicionais e repetições.","Esta habilidade consolida as três estruturas de controle fundamentais (sequência, seleção, repetição), habilitando o estudante a expressar soluções computacionais completas para problemas reais.","HACKATHON DOS ANOS INICIAIS: Em equipes mistas (1º-5º ano), desenvolvem soluções para problemas da escola usando programação em blocos. Apresentam em feira de projetos."
1º ao 5º Ano,Pensamento Computacional,EF15CO03,Lógica computacional completa,"Realizar operações de negação, conjunção e disjunção sobre sentenças lógicas com valores 'verdadeiro' e 'falso'.","A consolidação da lógica booleana completa prepara para compreender estruturas condicionais complexas em programação, filtros em bancos de dados e análise de argumentos formais.","OLIMPÍADA LÓGICA: Competição em equipes com desafios progressivos de lógica booleana — dos mais simples (verdadeiro/falso) aos mais complexos (expressões com E, OU, NÃO combinados)."
1º ao 5º Ano,Pensamento Computacional,EF15CO04,Decomposição,Aplicar a estratégia de decomposição para resolver problemas complexos.,"A decomposição como estratégia metacognitiva é transferível para todas as áreas do conhecimento. Ao fim dos anos iniciais, o estudante deve ser capaz de aplicá-la com autonomia em situações novas.","PROJETO INTEGRADOR: A turma planeja e executa um evento escolar (feira, exposição). Usam a decomposição para listar todas as tarefas, distribuir responsabilidades e acompanhar a execução."
1º ao 5º Ano,Mundo Digital,EF15CO05,Codificação da informação completa,"Codificar a informação de diferentes formas, entendendo a importância desta codificação para o armazenamento, manipulação e transmissão em dispositivos computacionais.","Consolidar a compreensão de codificação digital integra todos os formatos e sistemas estudados (binário, ASCII, RGB). O estudante compreende que toda informação digital é fundamentalmente a mesma coisa: bits.","DECODIFICADOR UNIVERSAL: Cada grupo recebe uma mensagem em um formato diferente (binário, morse, RGB). Devem decodificar e entregar a mensagem em linguagem natural."
1º ao 5º Ano,Mundo Digital,EF15CO06,Funcionamento de dispositivos,"Conhecer os componentes básicos de dispositivos computacionais, entendendo os princípios de seu funcionamento.","Ao fim dos anos iniciais, o estudante deve ter compreensão integrada de como hardware, software e sistema operacional cooperam para executar programas.","QUIZ DO COMPUTADOR: Competição em que equipes respondem perguntas sobre componentes e funcionamento de computadores, combinando conceitos aprendidos ao longo dos anos iniciais."
1º ao 5º Ano,Mundo Digital,EF15CO07,Sistema Operacional,Conhecer o conceito de Sistema Operacional e sua importância na integração entre software e hardware.,"Consolidar o conceito de sistema operacional posiciona o estudante para compreender as diferenças entre sistemas (Windows, Linux, Android) e para entender processos como instalação de programas.","COMPARANDO SISTEMAS: A turma explora dois sistemas operacionais diferentes e documenta semelhanças, diferenças e preferências pessoais com justificativa."
1º ao 5º Ano,Cultura Digital,EF15CO08,"Tecnologia para pesquisar, acessar e criar","Reconhecer e utilizar tecnologias computacionais para pesquisar e acessar informações, expressar-se crítica e criativamente e resolver problemas.","Esta habilidade consolida pesquisa, produção e resolução de problemas em uma competência digital ampla — o 'letramento digital pleno' ao qual os anos iniciais devem conduzir.","PORTFÓLIO DIGITAL: Cada estudante organiza um portfólio digital com os projetos desenvolvidos ao longo dos anos iniciais, reflete sobre seu aprendizado e compartilha com a família."
